7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?	THE SIMPSONS MOVIE
Before creating his successful TV series “The West Wing,” Aaron Sorkin wrote what famous line in film?	YOU CAN’T HANDLE THE TRUTH!
Before he hit it big, what singer composed the famous ad jingle, “I’m stuck on BandAid”?	BARRY MANILOW
Before he went solo,British singer Morrissey was frontman for which of these ’80s bands?	THE SMITHS
Before it was prescribed to help regrow hair,the drug minoxidil was developed to treat what condition?	HYPERTENSION
Before its country suffered a 15-year civil war, what city was known as “The Paris of the Middle East”?	BEIRUT
Before LL Cool J did the honors in 2012,which of these awards shows had gone without a host for 7 years?	GRAMMYS
Before Martin Scorsese offered him a part in “Raging Bull,” what actor was working at an Italian restaurant in the Bronx?	JOE PESCI
Before playing a cheerleading coach on “Glee,” Jane Lynch played the manager of Smart Tech in what comedy film?	THE 40-YEAR OLD VIRGIN
Before providing her voice on “Family Guy”,actress Mila Kunis played Jackie Burkhart on what TV series?	THAT ’70S SHOW
Before starring in ABC’s “Modern Family,” Ed O’Neill was best known for playing what classic TV dad?	AL BUNDY
Before starring in the 1999 film,who was dubbed a real-life “runaway bride” after leaving her fiance,Kiefer Sutherland?	JULIA ROBERTS
Before starring in the Adam Sandler comedy “Just Go With It,” Brooklyn Decker was most famous for being a what?	SWIMSUIT MODEL
Before starring in “Lost,” Matthew Fox played a key role in what ’90s teen drama?	PARTY OF FIVE
Before starring in “Scrubs,”Sarah Chalke was dubbed “The other Becky” for her fill-in role on what TV show?	ROSEANNE
Before starting a successful shoe company, Klaus Maertens held what position in the German army?	DOCTOR
Before switching career paths,what prominent American studied clarinet performance at Juilliard?	ALAN GREENSPAN
Before the 24th Amendment was passed, many U.S. states required people to pay a poll tax in order to do what?	VOTE IN ELECTIONS
Before the names “Draper” and “Pryce” were added,the name of the ad agency featured on “Mad Men” was what?	STERLING COOPER
Before they hit it big, the Beatles replaced band member Pete Best with whom?	RINGO STARR
Before “Sex and the City,” “Sex and the Single Girl” was a 1962 groundbreaking advice book by whom?	HELEN GURLEY BROWN
Bel Air,Brentwood,and Westwood are neighborhoods in what metropolitan area?	LOS ANGELES
Believed by many to help heart health,resveratol is an organic compound found in which of these foods?	RED WINE
Believed by the ancient Greeks to be a sacred or holy bone,the sacrum is located in what part of the human body?	PELVIS
Believed to be caused by jets,rare cloud formations that often drop snow share their name with what office tool?	HOLE-PUNCH
Believed to bring prosperity,Chinese restaurants often display a statue of what animal with one paw raised?	CAT
Beloved by millions of women, Spanx is a popular brand of which of the following?	UNDERGARMENTS
Benjamin Franklin once keenly observed that what two items “stink after three days”?	FISH AND VISITORS
Benjamin Franklin once quipped that what government post should be addressed as “Your Superfluous Excellency”?	VICE PRESIDENT
Besides elephants and rhinoceroses,what other animals are considered pachyderms?	HIPPOPOTAMUSES
Besides Meredith Vieira,who is the only woman to have won an Emmy for hosting a game show?	BETTY WHITE
Besides sporting his trademark smoking jacket and pipe, what media mogul is often seen wearing a sailor’s hat?	HUGH HEFNER
Besides sporting his trademark smoking jacket and pipe, what media mogul is often seen wearing a sailor’s hat?	HUGH HEFNER
Besides “Righteous Kill,”what other film features scenes between acting greats Al Pacino and Robert De Niro?	HEAT
Best known for her political website “The Huffington Post,” Arianna Huffington hails from what country?	GREECE
Best known for their hazelnut-filled Baci chocolates, Perugina is a confectionery based in what country?	ITALY
Betcha can’t eat just one” is a classic slogan for what food brand?	LAYS
Better known as the “Barefoot Contessa,” author and TV host Ina Garten is a guru in what field?	COOKING
Between 1100 and 1547, there were eight kings of England who had what first name?	HENRY
Between 2006 and 2009,actor Justin Long appeared in a series of TV ads,speaking what memorable line?	HELLO, I’M A MAC. CORRECT
Between the ages of 6 and 10,President Obama resided primarily in what country?	INDONESIA
Beverly Cleary is the author of a series of children’s books about the Quimby sisters,Beezus and whom?	RAMONA
Bigger than all of the Earth’s land area combined,which of the world’s oceans is the largest?	PACIFIC
Bill Clinton once said that climbing Kilimanjaro and running a marathon were two items on his what?	BUCKET LIST
Biological Sciences is one of the four sections that make up which of these standardized tests?	MCAT
Blue sky laws are state regulations designed to protect people from what?	SECURITIES FRAUD
Boasting more than 70% of the state’s people,which of the Hawaiian Islands is the most populated?	OAHU
Boasting of its environmental consciousness,what retailer states that the two colors in its logo blend to make green?	IKEA
Body mass index is a common measure of obesity based on weight and what other factor?	HEIGHT
Born in 1905, Eugene Fodor was a pioneer of what book genre?	TRAVEL GUIDES
Born in 1992,Frances Bean Cobain is the daughter of two musicians who were lead singers in what bands?	NIRVANA AND HOLE
Born in England, musician Saul Hudson is better known by what stage name?	SLASH
Born in New York,the legendary outlaw William H. Bonney,Jr. was better known as “Billy the” what?	KID
Bosco chocolate syrup was used to simulate blood in which of these classic horror films?	PSYCHO
Boston’s Ted Williams tunnel is named in honor of a legendary player in what sport?	BASEBALL
Both Katharine Ross and Nicole Kidman have played Joanna Eberhart, the main character from what novel?	THE STEPFORD WIVES
Both “gam” and “pod” are terms used to describe what group of animals?	WHALES
Brackets are best described as “square-cornered” versions of what other punctuation marks?	PARENTHESES
Breathalyzer test results are often introduced as evidence in cases involving which of these crimes?	DRIVING UNDER THE INFLUENCE
Brewer Anheuser-Busch is the nation’s largest purchaser of which of these crops?	RICE
Bridal veils are typically made from what sheer material?
British General James Brudenell, the namesake of a popular style of sweater, held which of these titles?	EARL OF CARDIGAN
Bruce Springsteen’s album “The Ghost of Tom Joad” references the main character of what classic novel?	THE GRAPES OF WRATH
Bubbles collapsing in synovial fluid is what creates the sound that occurs when you do what?	CRACK YOUR KNUCKLES
Buddhist scholar Robert Thurman named his daughter Uma,which means “bright one” in what language?	SANSKRIT
Built to mark the 2,500th anniversary of the Persian Empire,the Azadi Tower is a landmark in what capital city?	TEHRAN
Buzz Aldrin served as the model for which of these popular award statuettes?	MTV VIDEO MUSIC AWARD
By definition, a chiropodist is a specialist who treats disorders of the what?	FEET
By definition, a cooper is a person who makes or repairs which of the following?	BARRELS
By definition, a corporation that files for Chapter 11 is doing what?	DECLARING BANKRUPTCY
By definition, a defenestrated object has been what?	THROWN OUT A WINDOW
By definition, a maillot is what type of women’s clothing?	ONE-PIECE SWIMSUIT
By definition, a non-com is an enlisted member of the U.S. armed forces who is what?	NONCOMISSIONED
By definition, a parochial school is run by which of the following?	RELIGIOUS GROUP
By definition, a person whose mouth is “agape”has a mouth that is what?	WIDE OPEN
By definition, a plutocracy is a government controlled by whom?	THE WEALTHY
By definition, a pseudologue does which of these things?	TELLS LIES
By definition, a right triangle must contain one angle that has what precise measurement?	90 DEGREES
By definition, a snickerdoodle is a what?	COOKIE
By definition, a “doula” provides assistance during which of these events?	CHILDBIRTH
By definition, a “supermax” is an extremely high security what?	PRISON
By definition, an apivorous bird eats primarily what?	BEES
By definition, an analgesic is a type of medication intended primarily to do what?	RELIEVE PAIN
By definition, an estuary is a place where what two natural formations meet?	RIVER AND SEA
By definition, bariatrics is a branch of medicine concerned with the treatment of what condition?	OBESITY
By definition, food that is served flambeed is served how?	LIT ON FIRE
By definition, gestational diabetes can only occur to what group of people?	PREGNANT WOMEN
By definition, someone who is “skirling” is playing what type of musical instrument?	BAGPIPES
By definition, what does a game-keeper keep?	ANIMALS
By definition, what does a gamekeeper keep?	ANIMALS
By definition, what shape is a gable roof?	TRIANGULAR
By definition, where does an abyssopalegic animal live?	AT THE BOTTOM OF THE SEA
By definition, which of these geometric shapes is a parallelogram?	RECTANGLE
By definition, which of these popular craft hobbies involves the use of a hooked needle?	CROCHET
By definition, which of these types of triangles is always acute?	EQUILATERAL TRIANGLE
By definition, which of these vessels is a canoe?	KAYAK
By definition,a defenestrated object has been what?	THROWN OUT A WINDOW
By definition,a diurnal event occurs how often?	EVERY DAY
By definition,a doctor specializing in geriatrics primarily treats problems relating to what?	AGING
By definition,a gullywasher is a sudden,strong what?	RAINSTORM
By definition,a holographic will is which of the following?	HANDWRITTEN
By definition,a kibbutz is a communal farm or settlement in what country?	ISRAEL
By definition,a Mexican dish served “con queso” comes with what?	CHEESE
By definition,a pith helmet is a lightweight hat worn to protect the head from what?	SUN AND HEAT
By definition,a quinquagenarian is a person who falls into what age range?	FIFTIES
By definition,a semicircle is what portion of a circle?	ONE-HALF
By definition,a taxiway is a paved strip used by what type of vehicle?	AIRPLANE
By definition,a “roughneck” is a laborer who works where?	OIL RIG
By definition,a “towhead” has what distinguishing feature?	LIGHT-BLOND HAIR
By definition,Angora wool comes from one of two animals:the Angora goat or the Angora what?	RABBIT
By definition,crostini is an Italian appetizer that requires what main ingredient?	TOASTED BREAD
By definition,polyandry occurs when a woman has more than one what?	HUSBAND
By definition,the speed at which music is performed is known as what?	TEMPO
By definition,what kind of flower is a fleur-de-lis?	IRIS
By definition,where does an abyssopelagic animal live?	AT THE BOTTOM OF THE SEA
By definition,which of these classic French recipes contains nuts?	TROUT AMANDINE
By defitnition, a pitch helmet is a lightweight hat worn to protect the hat from what?	SUN AND HEAT
By far the rarest, only 1 percent of the U.S. population has what blood type?	AB NEGATIVE
By tradition,Navy SEAL candidates who give up during training do what to announce they are quitting?	RING A BELL
Cafe Central is one of many historic coffeehouses in what European city,known for its coffeehouse culture?	VIENNA
Calling it “historical fiction” in 2011 the History Channel refused to air a miniseries about what political family?	THE KENNEDYS
Calling itself “America’s third largest party,” what group promotes “Minimum Government, Maximum Freedom”?	LIBERTARIAN PARTY
Cameras that allow users to see exactly what picture will be taken are often labeled “SLR,” or “single lens” what?	REFLEX
Candy made from fruits and nuts bound in starch and dusted with sugar is known as what kind of “delight”?	TURKISH
Canned by Hormel’s competitor Armour,Treet is a rival version of what branded food?	SPAM
Capable of eroding tooth enamel, which of these fruits is the most acidic?	LEMON
Capable of storing up to two hundred gallons of water,a saguaro is a type of what?	CACTUS
Cape Agulhas, and not the nearby Cape of Good Hope, is the southernmost point of what continent?	AFRICA
Cape Wrangell is located at what extreme point in the U.S.?	WESTERNMOST
Capri pants are named for a picturesque resort island located off the coast of what country?	ITALY
Capsaicin is the chemical compound responsible for which of the following?	HEAT OF PEPPERS
Captain Edward John Smith famously piloted what historic craft?	RMS TITANIC
Captured in an iconic photograph, the WWII flag-raising at Iwo Jima took place atop what mountain?	MOUNT SURIBACHI
Carl Bernstein and Bob Woodward’s book “All the President’s Men” details what event in U.S. history?	WATERGATE SCANDAL
Carl Bernstein and Bob Woodward’s book “All the President’s Men” details what event in U.S. history?	WATERGATE SCANDAL
Carrots are said to be good for the eyes because they enable the body to create what nutrient?	VITAMIN A
Carson Daly,the host of the NBC singing contest “The Voice,” was also the host of what MTV music show?	TOTAL REQUEST LIVE
Cartoon character SpongeBob SquarePants has what distinctive physical characteristic?	BUCKTEETH
Castanets are musical instruments traditionally played while attached to what part of the body?	THUMB
Caught by the FBI in 2011, Boston mob boss James “Whitey” Bulger inspired a character in what gangster movie?	THE DEPARTED
Caused by repeatedly looking down,a recent phenomenon of pronounced neck creases has been termed what?	BLACKBERRY NECK
Causing excessive body hair growth,the medical condition hypertrichosis is slangily known as what?	WEREWOLF SYNDROME
Cavendish is the most popular supermarket variety of what fruit?	BANANA
Cavendish is the most popular supermarket variety of what fruit?	BANANA
CC Bloom’s,a hotel in the tropics of Thailand,is named after a character from what 1980s movie?	BEACHES
Celebrating its 60th anniversary in 2010, Junior’s is a New-York based restaurant famous for its what?	CHEESECAKE
Cerulean is a shade of what color?	BLUE
Challenging players to win control of an island,a wildly popular board game is known as “The” what “of Catan”?	SETTLERS
Characterized as conformist and workaholic,the term “salaryman” refers to a white-collar employee in what country?	JAPAN
Characterized by the hair-like strands covering its legs,Kiwa hirsuta is a crustacean more commonly known as what?	YETI CRAB
Charles de Gaulle once quipped about how difficult it is to govern a country with 246 different what?	VARIETIES OF CHEESE
Charlie Sheen and Martin Sheen have both starred in critically-acclaimed films set during what U.S. conflict?	VIETNAM WAR
Chartreuse is a yellowish-green color that gets its name from a similiarly-colored type of what?	LIQUER
Chef Paula Deen has caught flack for her recipe “Lady’s Brunch Burger,” a burger that replaces the bun with two what?	GLAZED DOUGHNUTS
Chevre, Montrachet, and Bucheron are all cheeses primarily made from the milk of what animal?	GOAT
Chiefly used in the U.K.,the term “serviette” refers to what everyday household item?	NAPKIN
Children put Shrinky Dinks into what in order to make them shrink?	OVEN
Christian radio personality Harold Camping was left “a little bewildered” when what day in 2011 passed Rapture-free?	MAY 21ST
Christina Aguilera fumbled the lyrics of the national anthem at Super Bowl XLV when she belted out what phrase?	WHAT SO PROUDLY WE WATCHED
Circus Peanuts,a classic marshmallow candy,are traditionally what color?	ORANGE
Citing blood pressure risks, in 2010 the CDC claimed 90% of Americans were eating too much what?	SALT
Claiming it is her lucky number,what young singer writes “13” on the back of her hand before shows?	TAYLOR SWIFT
Claire Danes won an Emmy for playing Temple Grandin, a real-life autism advocate and expert in what field?	ANIMAL BEHAVIOR
Classic kids’ stories involving Goldilocks,billy goats and little pigs all feature what word in their titles?	THREE
Clocking in at over 8 minutes,what psychedelic Beatles track is by far the longest the group has ever recorded?	REVOLUTION 9
Closely related to a wallaby and another marsupial, a wallaroo is native to what continent?	AUSTRALIA
Cockapoos are hybrid dogs created by breeding cocker spaniels with what other dogs?	POODLES
Coined by George Bernard Shaw,the term “bardolatry” refers to the excessive worship of what famous writer?	WILLIAM SHAKESPEARE
Coined in “Gulliver’s Travels,” what insult originally referred to a race of human savages who were ruled by horses?	YAHOO
College students interested in science commonly take a class known as “gross” what?	ANATOMY
College students often use the term “Underwater basket weaving” to refer to classes that are what?	EASY
Coloma, California marks what important event in U.S. history?	THE GOLD RUSH
Colorado is nicknamed The Centennial State because it joined the Union in what year?	1876
Colorado’s Tour de Cure,which raises money for diabetes research,features what type of athletic event?	BICYCLE RACE
Comedian Dan Whitney is better known by what stage name?	LARRY THE CABLE GUY
Comedians riffed about talking cars and lifeguards at a 2010 Comedy Central roast skewering what actor?	DAVID HASSELHOFF
Comic book hero Green Lantern uses what mystical accessory to unleash his otherworldly powers?	RING
Comic strip character Charlie Brown favors what well-known expression of dismay?	GOOD GRIEF!
Commonly associated with Ireland,a brogue is a type of what?	ACCENT
Commonly known as Prince Harry,Prince William’s younger brother has what actual first name?	HENRY
Commonly known by his nickname “Teddy,” U.S. Senator Ted Kennedy had what given first name?	EDWARD
Commonly used as seating in restaurants,banquettes are what type of furniture?	PADDED BENCHES
Commonly used in Central American cuisine, pernil is meat that comes from what animal?	PIG
Commonly used in the shower, a loofah is the fibrous interior of which of the following?	TROPICAL GOURD
Composed by a Mexican songwriter in 1941,the classic song “Besame Mucho” translates to what in English?	KISS ME A LOT
Composed by Johann Strauss, one of the world’s most famous waltzes is called “Blue” what?	DANUBE
Concerned with the protection of endangered elephants,eBay expressly forbids the sale of objects made of what?	IVORY
ConocoPhillips belongs to a group of multinational corporations often referrred to as “Big” what?	OIL
Considered a stunning architectural achievement,Spain’s Guggenheim Museum Bilbao was designed by whom?	FRANK GEHRY
Considered an “easy A,” what college-level course is often jokingly referred to as “Clapping for Credit”?	MUSIC APPRECIATION
Considered by many to be the best motion picture ever made,Orson Welles was just how old when he made “Citizen Kane”?	25 *CORRECT*
Considered extremely “contagious,” what term is often used by children to essentially mean “germs”?	COOTIES
Considered good for the heart, tannis are compounds found primarily in which of these beverages?	RED WINE
Considered one of the world’s greatest soccer players, Cristiano Ronaldo hails from what country?	PORTUGAL
Considered the most influential in his field,Lester Bangs was best known for what kind of journalism?	ROCK MUSIC
Considered the opposite of sexy,women’s underwear that comes up to the waist is slangily known as what?	GRANNY PANTIES
Considered “too fat” for a single seat, what film director was bumped from a Southwest Airlines flight in 2010?	KEVIN SMITH
Consisting of food served in a specialized box, “bento” is a popular type of meal native to what country?	JAPAN
Containing a deadly toxin, the carefully-prepared Japanese delicacy “fugu” is what type of animal?	PUFFERFISH
Contestants for the Scripps National Spelling Bee may not have passed beyond what grade?	EIGHTH
Contestants on the reality show “Scream Queens” compete for a role in a movie that is part of what film franchise?	SAW
Contestants on the singoff in 2010, the Whiffenpoofs are an a capella group from what university?	YALE
Coordinated Universal Time,the worldwide standard for timekeeping,is directly based on the behavior of what?	ATOMS
Coral reefs form due to a gradual accumulation of which of the following?	ANIMAL SKELETONS
Courting worldwide controversy, in 2010 what country banned wearing full-face Islamic veils in public?	FRANCE
Covered by The Fugees in 1996,”Killing Me Softly” was first made famous by what singer in 1973?	ROBERTA FLACK
Covering about 3.5 million square miles,which of these deserts is the largest?	SAHARA
Covering almost the entire body and marketed toward Muslim women,the “Burqini” is a modest type of what clothing?	BATHING SUIT
Cowboy Sketch and “A View to Kill” are two listings in a book titled what?	CHRISTOPHER WALKEN A TO Z
Craftsmen known as “shapers” and “glassers” are involved in the production of what kind of sports equipment?	SURFBOARDS
Craigslist is a popular online message board that was created in 1995 to serve what U.S. city?	SAN FRANCISCO
Created by a college professor, what is the CORRECT order when typing the original emoticon for a smiley face?	COLON, DASH, PARENTHESES
Created by J.J. Abrahms,the 2012 crime drama “Alcatraz” is set in and around what U.S. city?	SAN FRANCISCO
Created in the Chesapeake Bay area,Old Bay seasoning was meant to go with what type of food?	SEAFOOD
Creator of a famous sportswear brand,Rene Lacoste was a French champion in the 1920s in what sport?	TENNIS
Crucial for maintaining balance,the vestibular apparatus is located where in the human body?	INNER EAR
Culinarily speaking,which of these nursery rhyme characters had the easiest access to mutton?	LITTLE BO PEEP
Curds and whey,Miss Muffet’s snacks of choice,are created during what culinary process?	MAKING CHEESE
Curves is a popular fitness club chain aimed at what specific demographic?	WOMEN
Dampers,pieces of felt used to mute the strings,are often inside which of these musical instruments?	PIANO
Daniel Handler writes the kids’ book series “A Series of Unfortunate Events” under what pen name?	LEMONY SNICKET
Daredevil motorcyclist Evel Knievel once earned a Guinness World Record for doing what 433 times?	BREAKING A BONE
Darwin’s theory of evolution was supported by observing which of these birds on the Galapagos Islands?	FINCHES
Dashiell Hammett’s Sam Spade mysteries are set in the seamy underside of what U.S. city?	SAN FRANCISCO
Dave Berry once wrote that there was no way to kill what plant “that does not involve nuclear weapons”?	CRABGRASS
David Evans,the lead guitarist for the rock band U2,performs under what stage name?	THE EDGE
David Letterman and Madonna are two celebrities known for having a diastema, the medical term for a what?	GAP BETWEEN TEETH
Deadly Nadders, Hideous Zipplebacks and Gronckles are feared creatures in what 2010 movie?	HOW TO TRAIN YOUR DRAGON
Debuting in 1960,what classic animated series was the first to run in primetime?	THE FLINTSTONES
Debuting in 2008, “The Rachel Maddow Show” is a popular political talk show that airs on what network?	MSNBC
Debuting in 2010,which As-Seen-On-TV product promises to make women’s outfits”office appropriate?”	CAMI SECRET
Decades before WikiLeaks,the leaked “Pentagon Papers” were classified documents about what U.S. event?	VIETNAM WAR
Dee Brown’s bestselling history of the American West is titled “Bury My Heart” where?	AT WOUNDED KNEE
Demonstrating the popularity of the internet,the CBS sitcom “$#*!” My Dad Says” actually began as a what?	TWITTER ACCOUNT
Dendrochronology is the scientific method of estimating the date of past events or artifacts by analyzing what?	TREE RINGS
Deoxiribose, a main component of DNA, is a type of what?	SUGAR
Depicted in a 2002 Scorsese film, Five Points was a notoriously dangerous slum located in what U.S. city?	NEW YORK
Depicting two hands sketching each other, “Drawing Hands” is a 1948 lithograph by what famous artist?	M.C. ESCHER
Derived from a Chinese expression,a person who is “kowtowing” is doing what?	KNEELING AND BOWING
Derived from a passage in Balzac,a popular saying states “behind every great fortune is a great” what?	CRIME
Derived from a Spanish term for a newborn animal, a “cria” is used to refer to a baby what?	LLAMA
Derived from its Greek name, areology is the scientific study of what planet?	MARS
Derived from the name of an American Indian tribe the famous prison in Ossining,New York is called what?	SING SING
Derived from the practice of drinking lime juice to prevent scurvy,”limey” is a slang term for a person from where?	GREAT BRITAIN
Deriving its name from the French word for “melt,” fondant is a creamy mixture mostly used as what?	CAKE ICING
Described as a 370-year old Forks, WA resident, who ranked second on Forbes’ 2011 list of wealthiest fictional characters?	CARLISE CULLEN
Describing a person as “sinistral” is a fancy way of saying they are what?	LEFT-HANDED
Design guru Jonathan Ive is responsible for the look of which of these iconic products?	IPOD
Designed by Tiffany & Co.,the Commissioner’s Trophy is awarded to the winners of what championship?	WORLD SERIES
Designed in 1958 to promote nuclear disarmament,the “peace symbol” is a circle divided into how many pieces?	FOUR *CORRECT*
Designed to keep criminals from profiting from their crimes,a “Son of Sam” law is named after what infamous person?	DAVID BERKOWITZ
Despite being a surprisingly good golfer,President Taft weighed roughly how much when he left office?	340 POUNDS
Despite being only 10 sentences long, what children’s book was adapted into a 94-minute film in 2009?	WHERE THE WILD THINGS ARE
Despite being “the epicenter of prep style,” what city did GQ dub “America’s Worst-Dressed” in 2011?	BOSTON
Despite having the word “fly” in their name, fireflies are actually what kind of insect?	BEETLE
Despite how its spelled,what state’s capital name is properly pronounced “PEER”?	SOUTH DAKOTA
Despite its international sounding name, which of these foods was actually invented in the U.S?	GERMAN CHOCOLATE CAKE
Despite its name, which of the following is an actual type of meat?	SWEETBREAD
Despite its name,the popular piece of meat for barbecue known as “pork butt” comes from what part of the pig?	SHOULDER
Despite publishing under a male pseudonym,which of these classic authors was actually a woman?	GEORGE ELIOT
Despite serving the shortest presidency, who delivered the longest inaugural address, nearly 2 hours long?	WILLIAM HENRY HARRISON
Despite spanning nearly four million square miles, what country has had only one time zone since 1949?	CHINA
Developed by an elementary school teacher, Airborne is a popular herbal remedy that aims to do what?	FIGHT OFF COLDS
Developed by engineer James Watt,what unit of measure is equivalent to lifting 33,000 “foot pounds” per minute?	HORSEPOWER
Developed by the Greeks,the geocentric theory of the universe states that what lies at its center?	EARTH
DHMO.org is a tongue-in-cheek website that exposes the dangers of dihydrogen monoxide,better known as what?	WATER
Diets that incorporate the eating habits of Greece,Spain and Italy are fittingly referred to as what?	MEDITERRANEAN
Directed by Jack Nicholson,”The Two Jakes” is the critically-panned sequel to what acclaimed film?	CHINATOWN
Discovered 2.2 miles under the ground,the deepest living animal was given what appropriate nickname?	DEVIL WORM
Displayed on all their farming equipment, what are the trademark colors of the John Deere brand?	GREEN AND YELLOW
Doctors advise pregnant women to consume sufficient amounts of Vitamin B9, known as what?	FOLIC ACID
Doctors listen for “Korotkoff sounds” when they check what?	BLOOD PRESSURE
Dolittle,Strangelove and Zhivago are surnames of classic movie characters who share what distinguished title?	DOCTOR
Donning a sizeable gray-ribboned hat, who performed “My Country Tis of Thee” at Barack Obama’s inaugeration?	ARETHA FRANKLIN
Doppler is the team mascot of what WNBA franchise?	SEATTLE STORM
Doppler is the team mascot of what WNBA franchise?	SEATTLE STORM
Drawing 3 million visitors over 24 days,what U.S. state reportedly hosts the most attended state fair in the country?	TEXAS
Dresses whose hemlines are short in front but long in back are known by what hair-inspired term?	MULLET DRESS
Drip irrigation systems perform roughly the same function as which of these gardening implements?	LAWN SPRINKLER
Drivers traversing the Golden Gate Bridge are afforded picturesque views of what famous island?	ALCATRAZ
Dropping from a size 16 down to a size 6, what actress was spokesperson for Weight Watchers in 2010?	JENNIFER HUDSON
Drugs known as “beta blockers” are commonly prescribed for which of these conditions?	HYPERTENSION
Dubbed “The Angriest Man in the World,” viral video star Jack Rebney is better known as what?	WINNEBAGO MAN
Due in part to the city of Hershey,what U.S. state is the country’s leading producer of chocolate?	PENNSYLVANIA
Due to his line of work, what notable American is often referred to by the press as “The Reverend Al?”	AL SHARPTON
Due to his real-life first initial, the actor known for playing Mini-Me in the Austin Powers films has what nickname?	MINI-V
Due to its deep and powerful sound,what brass instrument is traditionally the only one of its kind in an orchestra?	TUBA
Due to its history, New York’s Ellis Island is home to a museum focusing on what subject?	IMMIGRATION
Due to its immense popularity with the Chinese,what U.S. state was the first to open its own tourism office in China?	NEVADA
Due to its low rate of obesity,what state is consistently labeled the “skinniest” in the U.S.?	COLORADO
Due to its political content, which of these comics was often published in newspapers’ op-ed sections?	THE BLOOMDOONS
Due to its presumed power over backsliding vegetarians,which of the following has been labeled a “Gateway Meat”?	BACON
Due to its rich history,what area of the world is popularly known as the “cradle of civilization”?	MESOPOTAMIA
Due to its strict obscenity laws, which of these countries once published a version of “Playboy” without any nudity?	INDONESIA
Due to its unique chemical qualities, which of these foods can remain edible for centuries if sealed from moisture?	HONEY
Due to licensing costs, what singer’s version of “Love and Marriage” is not on “Married…With Children” DVDs?	FRANK SINATRA
Due to shifts in the Mississippi River,in 2010 Minnesota had to “return” two islands to what neighboring state?	WISCONSIN
Due to Spanish naming conventions,which of these artists was born with a name that was 20 words long?	PABLO PICASSO
Due to the appearance of the numbers, what poker hand is slangily known as “snowmen”?	PAIR OF EIGHTS
Due to the popularity of Harry Potter, what word was added to the Oxford English dictionary in 2003?	Muggle
Due to the way the player’s legs move,the difficult soccer maneuver known as a “scissors kick” is also called a what?	BICYCLE KICK
Due to their decorative trim, what type of automobiles popularized the nickname “woodies” in the ’60s?	STATION WAGONS
During deep sleep, a healthy adult’s brain emits which of these kind of waves?	DELTA
During her 2010 SNL monologue,Betty White quipped that what website sounded like “a huge waste of time”?	FACEBOOK
During his illustrious career, Romanian-born Bela Karolyi coached 9 Olympic champions in what sport?	GYMNASTICS
During his presidency, Bill Clinton added which of these amenities to the White House?	JOGGING TRACK
During Kabbalah study,what music star prefers to go by her Hebrew name “Esther”?	MADONNA
During the 2010 BP oil spill, oil gushed into the Gulf of Mexico for a total of how many days?	86 days
During the Depression.impoverished people built tent cities and shantytowns known by what “presidential” nickname?	HOOVERVILLES
During World War I,what country introduced a fleet of submarines known as “U-boats”?	GERMANY
During WWI,butter often had to be imported from the Netherlands to France to create what aptly named sauce?	HOLLANDAISE
Dwight Eisenhower renamed the presidential retreat “Camp David” in honor of who?	HIS GRANDSON
E is for “Everyone,” T is for “Teen” and M is for “Mature” are standard ratings for which of the following?	VIDEO GAMES
Each May, what European country observes National Windmill and Pumping Station Day?	THE NETHERLANDS
Each of these 2010 films is primarily set in the state of Massachusetts, except for which?	UNSTOPPABLE
Each year since 1993, the coveted T.S. Eliot Prize has been awarded to a writer of what?	POETRY
Each year, the Bram Stoke awards are presented to writers of what literary genre?	HORROR
Each year, the South Pole experiences how many months of total darkness?	6
Each year,the Bram Stoker Awards are presented to writers of what literary genre?	HORROR
Earl Grey tea gets its distinctive flavor from the oil of what citrus fruit?	BERGAMOT
Earning its lead actor an Oscar, the 1968 drama “Charly” is based on what science fiction novel?	FLOWERS FOR ALGERNON
Echolocation is a scientific process that determines the location of objects by using what?	SOUND
Editor-in-chief of Men’s Health magazine,David Zinczenko is the best-selling author of what diet book?	EAT THIS,NOT THAT
Eduardus and Ursus and Christophorus Robinus are two characters in a Latin version of what classic kids’ story?	WINNIE-THE-POOH
Edward Michael Grylls, rugged host of the Discovery Series “Man vs. Wild,” goes by what nickname?	BEAR
Eirik Thorvaldson was a famous Viking explorer who is better known by what hair-inspired nickname?	ERIC THE RED
Ellen DeGeneres typically kicks off episodes of her popular daytime talk show by doing what?	DANCING
Emeralds contain small amounts of chromium that cause them to have what characteristic color?	GREEN
Emirates Airlines, the largest carrier in the Middle East, is headquartered in what city?	DUBAI
Enabling it to go for weeks without food,a camel’s hump is primarily used to store what?	FAT
Ending the careers of many a pro baseball player,which of these injuries affects the shoulder?	ROTATOR CUFF TEAR
Endorsed by celebs like Jessica Simpson and Katy Perry,Proactiv is a what?	ACNE TREATMENT
Engineered by scientists, the broccoflower is what type of edible?	VEGETABLE
Entertainment Weekly’s 2008 list of “Horrible Movie Accents” included Tom Cruise’s Irish brogue in what film?	FAR AND AWAY
Equivalent to 20 bottles, which of these large bottles of champagne holds the greatest volume?	NEBUCHADNEZZAR
Eric Clapton wrote the classic hit “Layla” as a love song to what rock star’s wife?	GEORGE HARRISON
Erin Andrews earned the apt nickname “America’s Sideline Princess” as a reporter for what network?	ESPN
Espadrilles are a type of what?	SHOES
